Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
SFRS4	chr1	29346836	29381224	18	splicing factor, arginine/serine-rich 4
SFRS5	chr14	69303581	69308475	18	splicing factor, arginine/serine-rich 5
SFRS6	chr20	41519917	41525658	18	splicing factor, arginine/serine-rich 6
SFRS7	chr2	38824244	38832140	18	splicing factor, arginine/serine-rich 7, 35kDa
SFT2D1	chr6	166653506	166675981	18	SFT2 domain containing 1	0016020	membrane
SGK1	chr6	134532076	134680889	18	serum/glucocorticoid regulated kinase 1	0005515	protein binding
SGPL1	chr10	72245709	72310938	18	sphingosine-1-phosphate lyase 1	0006672	ceramide metabolic process
SGSM2	chr17	2187555	2231098	18	small G protein signaling modulator 2	0005097	Rab GTPase activator activity
SGSM3	chr22	39096540	39136239	18	small G protein signaling modulator 3	0005515	protein binding
SH2B1	chr16	28782578	28793035	18	SH2B adaptor protein 1	0005515	protein binding
SH3BP5	chr3	15271360	15357905	18	SH3-domain binding protein 5 (BTK-associated)	0007165	signal transduction
SH3KBP1	chrX	19462003	19727838	18	SH3-domain kinase binding protein 1	0017124	SH3 domain binding
SH3PXD2A	chr10	105343773	105605154	18	SH3 and PX domains 2A	0002102	podosome
SHARPIN	chr8	145225523	145231128	18	SHANK-associated RH domain interactor	0005622	intracellular
SHC1	chr1	153201397	153209847	18	SHC (Src homology 2 domain containing) transforming protein 1	0005515	protein binding
SHISA5	chr3	48484200	48516665	18	shisa homolog 5 (Xenopus laevis)	0050699	WW domain binding
SHKBP1	chr19	45774596	45789145	18	SH3KBP1 binding protein 1	0006813	potassium ion transport
SHMT1	chr17	18171911	18207581	18	serine hydroxymethyltransferase 1 (soluble)	0046655	folic acid metabolic process
SHOC2	chr10	112669290	112763415	18	soc-2 suppressor of clear homolog (C. elegans)	0019888	protein phosphatase regulator activity
SIDT2	chr11	116555148	116573371	18	SID1 transmembrane family, member 2	0005765	lysosomal membrane
SIN3A	chr15	73448772	73535177	18	SIN3 homolog A, transcription regulator (yeast)	0005634	nucleus
SIPA1	chr11	65162153	65174967	18	signal-induced proliferation-associated 1	0007162	negative regulation of cell adhesion
SKAP2	chr7	26673212	26870866	18	src kinase associated phosphoprotein 2	0005070	SH3/SH2 adaptor activity
SKIL	chr3	171558166	171593644	18	SKI-like oncogene	0050772	positive regulation of axonogenesis
SKIV2L	chr6	32034559	32045511	18	superkiller viralicidic activity 2-like (S. cerevisiae)	0004386	helicase activity
SKIV2L2	chr5	54639332	54757166	18	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	0006397	mRNA processing
SKP1	chr5	133519980	133540623	18	S-phase kinase-associated protein 1	0005515	protein binding
SKP2	chr5	36187945	36218033	18	S-phase kinase-associated protein 2 (p45)	0000082	G1/S transition of mitotic cell cycle
SLBP	chr4	1664324	1683828	18	stem-loop binding protein	0006398	histone mRNA 3'-end processing
SLC12A2	chr5	127447381	127553279	18	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	0005215	transporter activity
SLC15A4	chr12	127843691	127874494	18	solute carrier family 15, member 4	0006811	ion transport
SLC20A1	chr2	113119997	113137871	18	solute carrier family 20 (phosphate transporter), member 1	0006810	transport
SLC25A1	chr22	17543093	17546301	18	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	0006843	mitochondrial citrate transport
SLC25A11	chr17	4781348	4784063	18	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	0016020	membrane
SLC25A12	chr2	172348160	172459059	18	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	0005515	protein binding
SLC25A17	chr22	39495584	39545338	18	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17	0005887	integral to plasma membrane
SLC25A3	chr12	97511533	97519909	18	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	0005488	binding
SLC25A36	chr3	142143351	142181475	18	solute carrier family 25, member 36	0055085	transmembrane transport
SLC25A37	chr8	23442307	23486008	18	solute carrier family 25, member 37	0048250	mitochondrial iron ion transport
SLC25A38	chr3	39399818	39413823	18	solute carrier family 25, member 38	0006783	heme biosynthetic process
SLC25A39	chr17	39752518	39757743	18	solute carrier family 25, member 39	0005739	mitochondrion
SLC25A44	chr1	154430353	154449211	18	solute carrier family 25, member 44	0005739	mitochondrion
SLC25A5	chrX	118486390	118489320	18	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	0016020	membrane
SLC25A6	chrX	1465044	1470998	18	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	0046732	active induction of host immune response by virus
SLC29A1	chr6	44295219	44309866	18	solute carrier family 29 (nucleoside transporters), member 1	0005887	integral to plasma membrane
SLC2A1	chr1	43163632	43197434	18	solute carrier family 2 (facilitated glucose transporter), member 1	0005624	membrane fraction
SLC2A4RG	chr20	61841654	61845847	18	SLC2A4 regulator	0006355	regulation of transcription, DNA-dependent
SLC30A1	chr1	209815003	209818722	18	solute carrier family 30 (zinc transporter), member 1	0005886	plasma membrane
SLC30A9	chr4	41687279	41784308	18	solute carrier family 30 (zinc transporter), member 9	0003700	transcription factor activity
SLC31A1	chr9	115023628	115066593	18	solute carrier family 31 (copper transporters), member 1	0006811	ion transport
SLC33A1	chr3	157028064	157054861	18	solute carrier family 33 (acetyl-CoA transporter), member 1	0008521	acetyl-CoA transporter activity
SLC35A2	chrX	48645402	48653861	18	solute carrier family 35 (UDP-galactose transporter), member A2	0016021	integral to membrane
SLC35A4	chr5	139924603	139928867	18	solute carrier family 35, member A4	0005794	Golgi apparatus
SLC35B1	chr17	45133688	45140281	18	solute carrier family 35, member B1	0005459	UDP-galactose transmembrane transporter activity
SLC35F5	chr2	114188402	114230870	18	solute carrier family 35, member F5	0016020	membrane
SLC37A3	chr7	139680020	139744780	18	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	0016021	integral to membrane
SLC37A4	chr11	118400273	118406800	18	solute carrier family 37 (glucose-6-phosphate transporter), member 4	0042593	glucose homeostasis
SLC38A1	chr12	44863107	44949475	18	solute carrier family 38, member 1	0006814	sodium ion transport
SLC38A10	chr17	76833393	76883691	18	solute carrier family 38, member 10	0006811	ion transport
SLC38A2	chr12	45038237	45052912	18	solute carrier family 38, member 2	0015293	symporter activity
SLC38A7	chr16	57257798	57276175	18	solute carrier family 38, member 7	0006814	sodium ion transport
SLC39A1	chr1	152198211	152206812	18	solute carrier family 39 (zinc transporter), member 1	0006811	ion transport
SLC39A3	chr19	2683522	2691074	18	solute carrier family 39 (zinc transporter), member 3	0016021	integral to membrane
SLC39A6	chr18	31942491	31963355	18	solute carrier family 39 (zinc transporter), member 6	0005385	zinc ion transmembrane transporter activity
SLC39A8	chr4	103391220	103485433	18	solute carrier family 39 (zinc transporter), member 8	0016021	integral to membrane
SLC39A9	chr14	68935159	68998860	18	solute carrier family 39 (zinc transporter), member 9	0016021	integral to membrane
SLC3A2	chr11	62380093	62412929	18	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	0005886	plasma membrane
SLC40A1	chr2	190133560	190153782	18	solute carrier family 40 (iron-regulated transporter), member 1	0005515	protein binding
SLC41A3	chr3	127207889	127285824	18	solute carrier family 41, member 3	0005886	plasma membrane
SLC43A3	chr11	56931002	56951099	18	solute carrier family 43, member 3	0016021	integral to membrane
SLC44A1	chr9	107046749	107193503	18	solute carrier family 44, member 1	0015220	choline transmembrane transporter activity
SLC44A2	chr19	10574120	10616235	18	solute carrier family 44, member 2	0015871	choline transport
SLC4A1AP	chr2	27739841	27771351	18	solute carrier family 4 (anion exchanger), member 1, adaptor protein	0003725	double-stranded RNA binding
SLC7A1	chr13	28981550	29067825	18	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	0055085	transmembrane transport
SLC9A8	chr20	47862656	47942179	18	solute carrier family 9 (sodium/hydrogen exchanger), member 8	0006885	regulation of pH
SLFN5	chr17	30594198	30618874	18	schlafen family member 5	0030154	cell differentiation
SLMAP	chr3	57718213	57889934	18	sarcolemma associated protein	0005887	integral to plasma membrane
SLMO2	chr20	57041594	57051296	18	slowmo homolog 2 (Drosophila)	0005739	mitochondrion
SLTM	chr15	56958535	57013144	18	SAFB-like, transcription modulator	0005634	nucleus
SLU7	chr5	159761225	159778746	18	SLU7 splicing factor homolog (S. cerevisiae)	0006397	mRNA processing
SMAD2	chr18	43613463	43711510	18	SMAD family member 2	0003690	double-stranded DNA binding
SMAD3	chr15	65145248	65274587	18	SMAD family member 3	0005515	protein binding
SMAD4	chr18	46810580	46865409	18	SMAD family member 4	0005515	protein binding
SMAP1	chr6	71434199	71628437	18	small ArfGAP 1	0008270	zinc ion binding
SMAP2	chr1	40612314	40661581	18	small ArfGAP2	0005634	nucleus
SMARCA2	chr9	2005341	2183623	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0071565	nBAF complex
SMARCA4	chr19	10932597	11033958	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0005515	protein binding
SMARCA5	chr4	144654065	144694017	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	0006338	chromatin remodeling
SMARCB1	chr22	22459149	22506705	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	0006338	chromatin remodeling
SMARCC1	chr3	47602381	47798409	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	0006338	chromatin remodeling
SMARCD2	chr17	59263172	59274083	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	0003713	transcription coactivator activity
SMARCE1	chr17	36037505	36057629	18	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	0005515	protein binding
SMC4	chr3	161600123	161635435	18	structural maintenance of chromosomes 4	0046982	protein heterodimerization activity
SMEK1	chr14	90993708	91046397	18	SMEK homolog 1, suppressor of mek1 (Dictyostelium)	0005856	cytoskeleton
SMG6	chr17	1909882	2153819	18	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	0035303	regulation of dephosphorylation
SMG7	chr1	181708256	181789949	18	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	0005515	protein binding
SMPD4	chr2	130625449	130656164	18	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3)	0004767	sphingomyelin phosphodiesterase activity
SNAP23	chr15	40575126	40612548	18	synaptosomal-associated protein, 23kDa	0005886	plasma membrane
SNAP29	chr22	19543291	19575501	18	synaptosomal-associated protein, 29kDa	0005886	plasma membrane
SNAP47	chr1	225989319	226035555	18	synaptosomal-associated protein, 47kDa	0005737	cytoplasm
SND1	chr7	127079437	127519895	18	staphylococcal nuclease and tudor domain containing 1	0044419	interspecies interaction between organisms
SNRNP200	chr2	96303800	96334988	18	small nuclear ribonucleoprotein 200kDa (U5)	0005654	nucleoplasm
SNRNP70	chr19	54280276	54303682	18	small nuclear ribonucleoprotein 70kDa (U1)	0005515	protein binding
SNRPA	chr19	45948618	45963134	18	small nuclear ribonucleoprotein polypeptide A	0005515	protein binding
SNRPA1	chr15	99639237	99652983	18	small nuclear ribonucleoprotein polypeptide A'	0008380	RNA splicing
SNRPC	chr6	34833666	34849549	18	small nuclear ribonucleoprotein polypeptide C	0005685	U1 snRNP
SNRPD3	chr22	23281617	23298509	18	small nuclear ribonucleoprotein D3 polypeptide 18kDa	0005654	nucleoplasm
SNURF				18	small nuclear ribonucleoprotein polypeptide N
SNTB2	chr16	67778550	67900456	18	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)	0005515	protein binding
SNUPN	chr15	73677478	73705501	18	snurportin 1	0016070	RNA metabolic process
SNW1	chr14	77253696	77297250	18	SNW domain containing 1	0005515	protein binding
SNX1	chr15	62175229	62223486	18	sorting nexin 1	0005515	protein binding
SNX12	chrX	70197512	70204956	18	sorting nexin 12	0005515	protein binding
SNX13	chr7	17796909	17946656	18	sorting nexin 13	0004871	signal transducer activity
SNX17	chr2	27446892	27453498	18	sorting nexin 17	0016020	membrane
SNX19	chr11	130250975	130291592	18	sorting nexin 19	0005515	protein binding
SNX2	chr5	122138648	122193701	18	sorting nexin 2	0005515	protein binding
SNX27	chr1	149851285	149938183	18	sorting nexin family member 27	0005769	early endosome
SNX5	chr20	17870243	17897154	18	sorting nexin 5	0005515	protein binding
SNX6	chr14	34100368	34169066	18	sorting nexin 6	0007175	negative regulation of epidermal growth factor receptor activity
SOCS7	chr17	33761530	33809545	18	suppressor of cytokine signaling 7	0005515	protein binding
SOD1	chr21	31953805	31963114	18	superoxide dismutase 1, soluble	0005576	extracellular region
SOD2	chr6	160020138	160034343	18	superoxide dismutase 2, mitochondrial	0046872	metal ion binding
SON	chr21	33837219	33854843	18	SON DNA binding protein	0006916	anti-apoptosis
SORBS2	chr4	186743591	186970404	18	sorbin and SH3 domain containing 2	0005622	intracellular
SORL1	chr11	120828170	121009681	18	sortilin-related receptor, L(DLR class) A repeats-containing	0008202	steroid metabolic process
SORT1	chr1	109653714	109742086	18	sortilin 1	0005783	endoplasmic reticulum
SOS1	chr2	39062193	39201108	18	son of sevenless homolog 1 (Drosophila)	0007165	signal transduction
SOS2	chr14	49653595	49767849	18	son of sevenless homolog 2 (Drosophila)	0005085	guanyl-nucleotide exchange factor activity
SOX4	chr6	21701950	21706828	18	SRY (sex determining region Y)-box 4	0003677	DNA binding
SP1	chr12	52060245	52096493	18	Sp1 transcription factor	0005515	protein binding
SP100	chr2	230989114	231118561	18	SP100 nuclear antigen	0005515	protein binding
SP3	chr2	174481503	174537193	18	Sp3 transcription factor	0005634	nucleus
SPAG7	chr17	4803243	4811856	18	sperm associated antigen 7	0003676	nucleic acid binding
SPAG9	chr17	46394533	46553225	18	sperm associated antigen 9	0030335	positive regulation of cell migration
SPARC	chr5	151021201	151046710	18	secreted protein, acidic, cysteine-rich (osteonectin)	0005576	extracellular region
SPATA2	chr20	47953334	47963683	18	spermatogenesis associated 2	0007283	spermatogenesis
SPCS2	chr11	74337939	74367724	18	signal peptidase complex subunit 2 homolog (S. cerevisiae)	0016021	integral to membrane
SPCS3	chr4	177478083	177490390	18	signal peptidase complex subunit 3 homolog (S. cerevisiae)	0005789	endoplasmic reticulum membrane
SPG11	chr15	42642185	42743168	18	spastic paraplegia 11 (autosomal recessive)	0005829	cytosol
SPG21	chr15	63042415	63068865	18	spastic paraplegia 21 (autosomal recessive, Mast syndrome)	0042609	CD4 receptor binding
SPG7	chr16	88102305	88151675	18	spastic paraplegia 7 (pure and complicated autosomal recessive)	0005739	mitochondrion
SPHK2	chr19	53814359	53825474	18	sphingosine kinase 2	0017016	Ras GTPase binding
SPIN1	chr9	90193116	90283442	18	spindlin 1	0007049	cell cycle
SPOP	chr17	45031244	45110524	18	speckle-type POZ protein	0005515	protein binding
SPPL3	chr12	119685417	119826534	18	signal peptide peptidase 3	0016021	integral to membrane
SPSB3	chr16	1766713	1772582	18	splA/ryanodine receptor domain and SOCS box containing 3	0005515	protein binding
SPTAN1	chr9	130354686	130435761	18	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	0005509	calcium ion binding
SPTBN1	chr2	54536957	54752087	18	spectrin, beta, non-erythrocytic 1	0005515	protein binding
SPTLC1	chr9	93833247	93917511	18	serine palmitoyltransferase, long chain base subunit 1	0005515	protein binding
SPTLC2	chr14	77043022	77152863	18	serine palmitoyltransferase, long chain base subunit 2	0016020	membrane
SQSTM1	chr5	179165993	179197683	18	sequestosome 1	0006511	ubiquitin-dependent protein catabolic process
SR140	chr3	144203061	144262257	18	U2-associated SR140 protein	0000166	nucleotide binding
SREBF1	chr17	17656110	17681050	18	sterol regulatory element binding transcription factor 1	0005634	nucleus
SREBF2	chr22	40559051	40632321	18	sterol regulatory element binding transcription factor 2	0008022	protein C-terminus binding
SRF	chr6	43246897	43257222	18	serum response factor (c-fos serum response element-binding transcription factor)	0001707	mesoderm formation
SRP14	chr15	38115182	38118681	18	signal recognition particle 14kDa (homologous Alu RNA binding protein)	0005786	signal recognition particle, endoplasmic reticulum targeting
SRP54	chr14	34521854	34568524	18	signal recognition particle 54kDa	0008144	drug binding
SRP68	chr17	71546785	71580202	18	signal recognition particle 68kDa	0005634	nucleus
SRP72	chr4	57028518	57064604	18	signal recognition particle 72kDa	0005047	signal recognition particle binding
SRP9	chr1	224032137	224044791	18	signal recognition particle 9kDa	0045900	negative regulation of translational elongation
SRPK2	chr7	104544058	104696713	18	SFRS protein kinase 2	0005524	ATP binding
SRPR	chr11	125638043	125643960	18	signal recognition particle receptor (docking protein)	0006614	SRP-dependent cotranslational protein targeting to membrane
SRPRB	chr3	135007366	135022213	18	signal recognition particle receptor, B subunit	0030529	ribonucleoprotein complex
SRRD	chr22	25209849	25217904	18	SRR1 domain containing	0048511	rhythmic process
SRRM1	chr1	24842180	24872359	18	serine/arginine repetitive matrix 1	0005654	nucleoplasm
SRRM2	chr16	2742330	2761414	18	serine/arginine repetitive matrix 2	0015030	Cajal body
SRRT	chr7	100310636	100324221	18	serrate RNA effector molecule homolog (Arabidopsis)	0008283	cell proliferation
SS18	chr18	21850214	21924609	18	synovial sarcoma translocation, chromosome 18	0005515	protein binding
SS18L2	chr3	42607301	42611494	18	synovial sarcoma translocation gene on chromosome 18-like 2
SSB	chr2	170363634	170376821	18	Sjogren syndrome antigen B (autoantigen La)	0005634	nucleus
SSBP1	chr7	141084644	141096726	18	single-stranded DNA binding protein 1	0051096	positive regulation of helicase activity
SSBP2	chr5	80751427	81082828	18	single-stranded DNA binding protein 2	0003697	single-stranded DNA binding
SSBP3	chr1	54464782	54644680	18	single stranded DNA binding protein 3	0003697	single-stranded DNA binding
SSR1	chr6	7226285	7258540	18	signal sequence receptor, alpha	0006613	cotranslational protein targeting to membrane
SSR2	chr1	154245462	154257382	18	signal sequence receptor, beta (translocon-associated protein beta)	0016020	membrane
SSR3	chr3	157741236	157755629	18	signal sequence receptor, gamma (translocon-associated protein gamma)	0005792	microsome
SSR4	chrX	152713287	152717148	18	signal sequence receptor, delta (translocon-associated protein delta)	0016020	membrane
SSU72	chr1	1466915	1500125	18	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	0006397	mRNA processing
SSX2IP	chr1	84882184	84928768	18	synovial sarcoma, X breakpoint 2 interacting protein	0005913	cell-cell adherens junction
ST13	chr22	39550544	39582633	18	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	0030674	protein binding, bridging
ST14	chr11	129534891	129585467	18	suppression of tumorigenicity 14 (colon carcinoma)	0016323	basolateral plasma membrane
ST3GAL1	chr8	134536272	134653365	18	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	0005794	Golgi apparatus
ST6GAL1	chr3	188131209	188279035	18	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	0016020	membrane
ST6GALNAC4	chr9	129709985	129719126	18	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	0016020	membrane
ST6GALNAC6	chr9	129687421	129701692	18	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	0005886	plasma membrane
STAG1	chr3	137538688	137953935	18	stromal antigen 1	0000278	mitotic cell cycle
STAG2	chrX	122922155	123064186	18	stromal antigen 2	0000785	chromatin
STARD10	chr11	72143421	72182398	18	StAR-related lipid transfer (START) domain containing 10
STAT1	chr2	191542006	191587221	18	signal transducer and activator of transcription 1, 91kDa	0005515	protein binding
STAT3	chr17	37718868	37794039	18	signal transducer and activator of transcription 3 (acute-phase response factor)	0060397	JAK-STAT cascade involved in growth hormone signaling pathway
STAT5A	chr17	37693090	37717486	18	signal transducer and activator of transcription 5A	0005515	protein binding
STAT5B	chr17	37604720	37681950	18	signal transducer and activator of transcription 5B	0005509	calcium ion binding
STAT6	chr12	55775459	55791428	18	signal transducer and activator of transcription 6, interleukin-4 induced	0019221	cytokine-mediated signaling pathway
STAU1	chr20	47163282	47238311	18	staufen, RNA binding protein, homolog 1 (Drosophila)	0005515	protein binding
STAU2	chr8	74624395	74821611	18	staufen, RNA binding protein, homolog 2 (Drosophila)	0005622	intracellular
STIM1	chr11	3833508	4071016	18	stromal interaction molecule 1	0005515	protein binding
STIP1	chr11	63710162	63728596	18	stress-induced-phosphoprotein 1	0005794	Golgi apparatus
STK10	chr5	171401678	171547951	18	serine/threonine kinase 10	0000166	nucleotide binding
STK19	chr6	32047624	32057202	18	serine/threonine kinase 19	0006468	protein amino acid phosphorylation
STK38	chr6	36569646	36623225	18	serine/threonine kinase 38	0005524	ATP binding
STK38L	chr12	27288344	27370157	18	serine/threonine kinase 38 like	0015629	actin cytoskeleton
STMN1	chr1	26083263	26105580	18	stathmin 1	0030154	cell differentiation
STMN3	chr20	61741504	61755224	18	stathmin-like 3	0005625	soluble fraction
STOM	chr9	123141173	123172366	18	stomatin	0005515	protein binding
STOML2	chr9	35089888	35093154	18	stomatin (EPB72)-like 2	0005739	mitochondrion
STRADA	chr17	59133926	59172947	18	STE20-related kinase adaptor alpha	0005737	cytoplasm
STRADB	chr2	202024636	202053819	18	STE20-related kinase adaptor beta	0005829	cytosol
STRAP	chr12	15926554	15947677	18	serine/threonine kinase receptor associated protein	0005515	protein binding
STRN4	chr19	51914607	51941560	18	striatin, calmodulin binding protein 4	0005515	protein binding
STT3B	chr3	31549494	31652560	18	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	0006486	protein amino acid glycosylation
STX12	chr1	27972280	28023550	18	syntaxin 12	0045335	phagocytic vesicle
STX16	chr20	56659733	56687988	18	syntaxin 16	0016021	integral to membrane
STX4	chr16	30952403	30958986	18	syntaxin 4	0016021	integral to membrane
STX5	chr11	62330944	62356136	18	syntaxin 5	0006886	intracellular protein transport
STX6	chr1	179208798	179258669	18	syntaxin 6	0030136	clathrin-coated vesicle
STXBP2	chr19	7607990	7618759	18	syntaxin binding protein 2	0030348	syntaxin-3 binding
SUB1	chr5	32621361	32639942	18	SUB1 homolog (S. cerevisiae)	0006357	regulation of transcription from RNA polymerase II promoter
SULF2	chr20	45719558	45848215	18	sulfatase 2	0009986	cell surface
SUMF2	chr7	56099410	56115859	18	sulfatase modifying factor 2	0046872	metal ion binding
SUMO2	chr17	70675419	70690693	18	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	0031625	ubiquitin protein ligase binding
SUMO3	chr21	45049959	45062472	18	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	0005515	protein binding
SUOX	chr12	54677309	54685576	18	sulfite oxidase	0016491	oxidoreductase activity
SUPT5H	chr19	44628025	44659148	18	suppressor of Ty 5 homolog (S. cerevisiae)	0006354	RNA elongation
SUPT6H	chr17	24013428	24053376	18	suppressor of Ty 6 homolog (S. cerevisiae)	0005737	cytoplasm
SUPT7L	chr2	27727182	27739953	18	suppressor of Ty 7 (S. cerevisiae)-like	0045449	regulation of transcription
SUPV3L1	chr10	70609998	70638855	18	suppressor of var1, 3-like 1 (S. cerevisiae)	0004386	helicase activity
SURF4	chr9	135218160	135232791	18	surfeit 4	0016021	integral to membrane
SUV420H1	chr11	67680082	67737360	18	suppressor of variegation 4-20 homolog 1 (Drosophila)	0008168	methyltransferase activity
SUZ12	chr17	27288156	27352170	18	suppressor of zeste 12 homolog (Drosophila)	0035098	ESC/E(Z) complex
SYAP1	chrX	16647675	16689256	18	synapse associated protein 1, SAP47 homolog (Drosophila)	0005634	nucleus
SYF2	chr1	25421353	25431600	18	SYF2 homolog, RNA splicing factor (S. cerevisiae)	0005634	nucleus
SYMPK	chr19	51010539	51058388	18	symplekin	0008150	biological_process
SYNCRIP	chr6	86374220	86409359	18	synaptotagmin binding, cytoplasmic RNA interacting protein	0005515	protein binding
SYNE1	chr6	152484514	152681172	18	spectrin repeat containing, nuclear envelope 1	0005794	Golgi apparatus
SYNE2	chr14	63389435	63762920	18	spectrin repeat containing, nuclear envelope 2	0005515	protein binding
SYPL1	chr7	105518187	105540293	18	synaptophysin-like 1	0007268	synaptic transmission
SYS1	chr20	43425114	43431263	18	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)	0005794	Golgi apparatus
SYVN1	chr11	64651326	64658579	18	synovial apoptosis inhibitor 1, synoviolin	0030433	ER-associated protein catabolic process
TACC1	chr8	38704864	38829703	18	transforming, acidic coiled-coil containing protein 1	0005515	protein binding
TADA3L	chr3	9796655	9809420	18	transcriptional adaptor 3 (NGG1 homolog, yeast)-like
TAF11	chr6	34953532	34963797	18	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	0047485	protein N-terminus binding
TAF1D	chr11	93108745	93114310	18	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa	0003677	DNA binding
TAF7	chr5	140678240	140680535	18	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	0006469	negative regulation of protein kinase activity
TAGLN2	chr1	158154526	158161908	18	transgelin 2	0007517	muscle organ development
TAOK1	chr17	24742068	24895628	18	TAO kinase 1	0016301	kinase activity
TAOK3	chr12	117071988	117295133	18	TAO kinase 3	0005737	cytoplasm
TAP1	chr6	32920963	32929726	18	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0042605	peptide antigen binding
TAP2	chr6	32897587	32914525	18	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	0042605	peptide antigen binding
TAPBPL	chr12	6431437	6441749	18	TAP binding protein-like	0005783	endoplasmic reticulum
TARBP2	chr12	52180971	52186482	18	TAR (HIV-1) RNA binding protein 2	0035197	siRNA binding
TARDBP	chr1	10995265	11008136	18	TAR DNA binding protein	0005515	protein binding
TARS	chr5	33476654	33503953	18	threonyl-tRNA synthetase	0042803	protein homodimerization activity
TATDN2	chr3	10265176	10297906	18	TatD DNase domain containing 2	0004518	nuclease activity
TAX1BP1	chr7	27746262	27835911	18	Tax1 (human T-cell leukemia virus type I) binding protein 1	0005515	protein binding
TBC1D1	chr4	37569114	37817189	18	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	0005622	intracellular
TBC1D17	chr19	55072640	55083813	18	TBC1 domain family, member 17	0032313	regulation of Rab GTPase activity
TBC1D23	chr3	101462375	101526770	18	TBC1 domain family, member 23	0005097	Rab GTPase activator activity
TBC1D5	chr3	17173657	17759244	18	TBC1 domain family, member 5	0005515	protein binding
TBC1D9B	chr5	179221676	179267462	18	TBC1 domain family, member 9B (with GRAM domain)	0016020	membrane
TBL1X	chrX	9391334	9647780	18	transducin (beta)-like 1X-linked	0017053	transcriptional repressor complex
TBL1XR1	chr3	178221235	178397742	18	transducin (beta)-like 1 X-linked receptor 1	0016563	transcription activator activity
TBL2	chr7	72621212	72630949	18	transducin (beta)-like 2	0005575	cellular_component
TBRG1	chr11	123997951	124011032	18	transforming growth factor beta regulator 1	0005634	nucleus
TBRG4	chr7	45106223	45117842	18	transforming growth factor beta regulator 4	0004672	protein kinase activity
TCEA1	chr8	55041668	55097561	18	transcription elongation factor A (SII), 1	0005515	protein binding
TCERG1	chr5	145807065	145871262	18	transcription elongation regulator 1	0005634	nucleus
TCF12	chr15	54998124	55368006	18	transcription factor 12	0007275	multicellular organismal development
TCF25	chr16	88467494	88505293	18	transcription factor 25 (basic helix-loop-helix)	0000122	negative regulation of transcription from RNA polymerase II promoter
TCF4	chr18	51040559	51406858	18	transcription factor 4	0045893	positive regulation of transcription, DNA-dependent
TCP1	chr6	160119519	160130725	18	t-complex 1	NOT
TCTA	chr3	49424642	49428913	18	T-cell leukemia translocation altered gene
TCTN1	chr12	109536262	109571319	18	tectonic family member 1	0005576	extracellular region
